+--------+-------------------+-----------------+--------------+-----------------------+-------+-------+
| commit |        user       | changed_objects | top 10 pred  |         score         | top 3 | top 5 |
+--------+-------------------+-----------------+--------------+-----------------------+-------+-------+
|   5    |      mylnext      |       [3]       |  (1, 0.22)   |   0.3333333333333333  |   1   |   1   |
|        |                   |                 |  (2, 0.22)   |                       |       |       |
|        |                   |                 |  (3, 0.22)   |                       |       |       |
|   17   |      mylnext      |   [15, 16, 17]  | (12, 0.379)  |   0.280267753201397   |   0   |   2   |
|        |                   |                 | (13, 0.379)  |                       |       |       |
|        |                   |                 | (14, 0.379)  |                       |       |       |
|        |                   |                 | (15, 0.321)  |                       |       |       |
|        |                   |                 | (16, 0.321)  |                       |       |       |
|        |                   |                 | (17, 0.321)  |                       |       |       |
|        |                   |                 | (18, 0.321)  |                       |       |       |
|        |                   |                 | (19, 0.321)  |                       |       |       |
|        |                   |                 |  (3, 0.147)  |                       |       |       |
|        |                   |                 |  (4, 0.137)  |                       |       |       |
|   19   |      mylnext      |     [4, 20]     | (18, 0.421)  |  0.052878598247809785 |   0   |   0   |
|        |                   |                 | (19, 0.421)  |                       |       |       |
|        |                   |                 | (15, 0.303)  |                       |       |       |
|        |                   |                 | (16, 0.303)  |                       |       |       |
|        |                   |                 | (17, 0.303)  |                       |       |       |
|        |                   |                 | (12, 0.252)  |                       |       |       |
|        |                   |                 | (13, 0.252)  |                       |       |       |
|        |                   |                 | (14, 0.252)  |                       |       |       |
|        |                   |                 |  (3, 0.152)  |                       |       |       |
|        |                   |                 |  (4, 0.14)   |                       |       |       |
|   30   |  darjiharshil2994 |       [21]      |  (15, 0.14)  |  0.04685714285714284  |   0   |   0   |
|        |                   |                 |  (16, 0.14)  |                       |       |       |
|        |                   |                 |  (17, 0.14)  |                       |       |       |
|        |                   |                 |  (18, 0.13)  |                       |       |       |
|        |                   |                 |  (19, 0.13)  |                       |       |       |
|        |                   |                 |  (4, 0.116)  |                       |       |       |
|        |                   |                 |  (3, 0.092)  |                       |       |       |
|        |                   |                 | (20, 0.092)  |                       |       |       |
|        |                   |                 | (12, 0.082)  |                       |       |       |
|        |                   |                 | (13, 0.082)  |                       |       |       |
|   41   |   dynamitechetan  |       [3]       | (42, 0.214)  |  0.02110514198004605  |   0   |   0   |
|        |                   |                 | (38, 0.211)  |                       |       |       |
|        |                   |                 | (39, 0.211)  |                       |       |       |
|        |                   |                 | (35, 0.195)  |                       |       |       |
