                    user      modified                                              added  modified_centrality  all_centrality  modified_proximity  all_proximity  modified_changeExtent  all_changeExtent
0                mylnext            []                                                [1]             0.000000        0.000000            0.000000       0.000000               0.000000          0.000000
1         dynamitechetan            []                                                [2]             0.000000        1.000000            0.000000       0.000000               0.000000          0.000000
2   chetanya221997chopra            []                                                [3]             0.000000        0.666667            0.000000       0.000000               0.000000          2.000000
3                mylnext           [3]                                                [4]             0.200000        0.600000            0.000000       0.000000               0.500000          1.500000
4                mylnext            []                                                [5]             0.000000        1.166667            0.000000       1.100000               0.000000          0.666667
5   chetanya221997chopra            []                                                [6]             0.000000        1.142857            0.000000       1.000000               0.000000          2.000000
6   chetanya221997chopra            []                                                [7]             0.000000        1.125000            0.000000       0.666667               0.000000          1.466667
7                mylnext            []                                                [8]             0.000000        1.111111            0.000000       1.333333               0.000000          1.500000
8                mylnext            []                                                [9]             0.000000        1.100000            0.000000       1.333333               0.000000          1.154762
9   chetanya221997chopra            []                                               [10]             0.000000        1.090909            0.000000       0.666667               0.000000          1.916667
10  chetanya221997chopra            []                                               [11]             0.000000        1.083333            0.000000       0.666667               0.000000          1.535714
11               mylnext            []                                       [12, 13, 14]             0.000000        1.076923            0.000000       1.333333               0.000000          1.742857
12               mylnext            []                               [15, 16, 17, 18, 19]             0.000000        1.437500            0.000000       3.050000               0.000000          1.396645
13               mylnext  [15, 16, 17]                                                 []             0.714286        2.285714            2.571429       6.190476               0.000000          4.186111
14               mylnext            []                                               [20]             0.000000        2.285714            0.000000       6.033333               0.000000          4.539316
15               mylnext       [4, 20]                                               [21]             0.136364        2.227273            0.333333       6.344444               0.090909          2.929004
16               mylnext            []                                           [22, 23]             0.000000        2.434783            0.000000       7.331746               0.000000          2.175433
17               mylnext            []                                               [23]             0.000000        2.400000            0.000000       8.486264               0.000000          2.794444
18               mylnext            []                                               [24]             0.000000        2.400000            0.000000       9.509524               0.000000          3.040975
19      darjiharshil2994          [21]                                           [30, 31]             0.115385        2.346154            0.000000       0.000000               0.055556          1.722222
20        dynamitechetan            []                                               [32]             0.000000        2.413793            0.000000       0.000000               0.000000          1.792398
21        dynamitechetan            []                                               [33]             0.000000        2.366667            0.000000       0.000000               0.000000          1.702632
22        dynamitechetan            []                                               [34]             0.000000        2.322581            0.000000       0.000000               0.000000          2.621429
23        dynamitechetan            []                                           [35, 36]             0.000000        2.281250            0.000000       0.000000               0.000000          3.047619
24       pawan.dwivedi94            []                                               [37]             0.000000        2.264706            0.000000       0.000000               0.000000          1.695652
25        dynamitechetan            []                                           [38, 39]             0.000000        2.166667            0.000000       1.200000               0.000000          4.543478
26        dynamitechetan            []                                               [40]             0.000000        2.157895            0.000000       2.200000               0.000000          3.185000
27        dynamitechetan            []                                               [41]             0.000000        2.128205            0.000000       2.666667               0.000000          4.631026
28        dynamitechetan            []                                               [42]             0.000000        2.100000            0.000000       2.666667               0.000000          4.307245
29           1anuppanwar            []                                           [43, 44]             0.000000        2.073171            0.000000       0.000000               0.000000          1.607143
30        dynamitechetan           [3]                                                 []             0.068182        2.022727            0.000000       2.666667               0.068966          4.322729
31           1anuppanwar            []                                               [46]             0.000000        2.045455            0.000000       1.200000               0.000000          3.533333
32           1anuppanwar          [46]                                                 []             0.022222        2.022222            0.000000       1.333333               0.000000          2.483871
33           1anuppanwar          [46]                                                 []             0.022222        2.022222            0.000000       1.000000               0.000000          2.104167
34           1anuppanwar            []                                               [48]             0.000000        2.022222            0.000000       0.800000               0.000000          1.893939
35           1anuppanwar          [48]                                                 []             0.021739        2.000000            0.000000       0.800000               0.000000          1.752941
36           1anuppanwar            []                                               [49]             0.000000        2.000000            0.000000       0.800000               0.000000          1.647619
37        dynamitechetan            []                                               [50]             0.000000        1.978723            0.000000       2.916667               0.000000          2.012053
38           1anuppanwar      [39, 46]                                                 []             0.062500        1.958333            0.000000       1.000000               0.027027          2.520270
39           1anuppanwar          [39]                                                 []             0.083333        2.020833            0.500000       2.766667               0.000000          1.932749
40           1anuppanwar          [38]                                                 []             0.041667        2.020833            1.000000       3.200000               0.025641          1.712821
41           1anuppanwar            []                                           [55, 56]             0.000000        2.041667            0.000000       2.500000               0.000000          1.556818
42           1anuppanwar            []                                               [57]             0.000000        2.040000            0.000000       2.866667               0.000000          1.464228
