+--------+-------------------+-----------------+--------------+------------------------+-------+-------+
| commit |        user       | changed_objects | top 10 pred  |         score          | top 3 | top 5 |
+--------+-------------------+-----------------+--------------+------------------------+-------+-------+
|   16   |   dynamitechetan  |       [4]       |  (4, 0.125)  |  0.26205450733752617   |   1   |   1   |
|        |                   |                 |  (3, 0.092)  |                        |       |       |
|        |                   |                 |  (1, 0.065)  |                        |       |       |
|        |                   |                 |  (2, 0.065)  |                        |       |       |
|        |                   |                 |  (8, 0.065)  |                        |       |       |
|        |                   |                 |  (9, 0.065)  |                        |       |       |
|   17   |   dynamitechetan  |       [1]       |  (3, 0.075)  |   0.1746987951807229   |   1   |   1   |
|        |                   |                 |  (1, 0.058)  |                        |       |       |
|        |                   |                 |  (2, 0.058)  |                        |       |       |
|        |                   |                 |  (8, 0.058)  |                        |       |       |
|        |                   |                 |  (9, 0.058)  |                        |       |       |
|        |                   |                 |  (4, 0.025)  |                        |       |       |
|   20   |   dynamitechetan  |       [4]       |  (16, 0.22)  |  0.04210526315789474   |   0   |   0   |
|        |                   |                 |  (3, 0.049)  |                        |       |       |
|        |                   |                 |  (2, 0.042)  |                        |       |       |
|        |                   |                 |  (8, 0.042)  |                        |       |       |
|        |                   |                 |  (9, 0.042)  |                        |       |       |
|        |                   |                 |  (1, 0.04)   |                        |       |       |
|        |                   |                 |  (4, 0.02)   |                        |       |       |
|        |                   |                 |  (17, 0.02)  |                        |       |       |
|   22   |   dynamitechetan  |       [17]      | (17, 0.118)  |   0.2789598108747045   |   1   |   1   |
|        |                   |                 | (16, 0.085)  |                        |       |       |
|        |                   |                 |  (3, 0.04)   |                        |       |       |
|        |                   |                 |  (1, 0.036)  |                        |       |       |
|        |                   |                 |  (2, 0.036)  |                        |       |       |
|        |                   |                 |  (8, 0.036)  |                        |       |       |
|        |                   |                 |  (9, 0.036)  |                        |       |       |
|        |                   |                 |  (4, 0.018)  |                        |       |       |
|        |                   |                 | (18, 0.018)  |                        |       |       |
|   31   |   30808316+0oo0   |       [22]      |  (4, 0.039)  |  0.040772532188841186  |   0   |   0   |
|        |                   |                 | (27, 0.036)  |                        |       |       |
|        |                   |                 | (28, 0.036)  |                        |       |       |
|        |                   |                 | (29, 0.036)  |                        |       |       |
|        |                   |                 | (17, 0.029)  |                        |       |       |
|        |                   |                 | (19, 0.027)  |                        |       |       |
|        |                   |                 | (20, 0.027)  |                        |       |       |
