+--------+-------------------+-----------------+--------------+-----------------------+-------+-------+
| commit |        user       | changed_objects | top 10 pred  |         score         | top 3 | top 5 |
+--------+-------------------+-----------------+--------------+-----------------------+-------+-------+
|   16   |   dynamitechetan  |       [4]       |  (4, 0.175)  |  0.22522522522522523  |   1   |   1   |
|        |                   |                 |  (3, 0.142)  |                       |       |       |
|        |                   |                 |  (1, 0.115)  |                       |       |       |
|        |                   |                 |  (2, 0.115)  |                       |       |       |
|        |                   |                 |  (8, 0.115)  |                       |       |       |
|        |                   |                 |  (9, 0.115)  |                       |       |       |
|   17   |   dynamitechetan  |       [1]       |  (3, 0.125)  |   0.1708860759493671  |   1   |   1   |
|        |                   |                 |  (1, 0.108)  |                       |       |       |
|        |                   |                 |  (2, 0.108)  |                       |       |       |
|        |                   |                 |  (8, 0.108)  |                       |       |       |
|        |                   |                 |  (9, 0.108)  |                       |       |       |
|        |                   |                 |  (4, 0.075)  |                       |       |       |
|   20   |   dynamitechetan  |       [4]       |  (16, 0.26)  |   0.0718562874251497  |   0   |   0   |
|        |                   |                 |  (1, 0.12)   |                       |       |       |
|        |                   |                 |  (3, 0.089)  |                       |       |       |
|        |                   |                 |  (2, 0.082)  |                       |       |       |
|        |                   |                 |  (8, 0.082)  |                       |       |       |
|        |                   |                 |  (9, 0.082)  |                       |       |       |
|        |                   |                 |  (4, 0.06)   |                       |       |       |
|        |                   |                 |  (17, 0.06)  |                       |       |       |
|   22   |   dynamitechetan  |       [17]      | (17, 0.155)  |   0.1959544879898862  |   1   |   1   |
|        |                   |                 | (16, 0.121)  |                       |       |       |
|        |                   |                 |  (1, 0.109)  |                       |       |       |
|        |                   |                 |  (3, 0.077)  |                       |       |       |
|        |                   |                 |  (2, 0.073)  |                       |       |       |
|        |                   |                 |  (8, 0.073)  |                       |       |       |
|        |                   |                 |  (9, 0.073)  |                       |       |       |
|        |                   |                 |  (4, 0.055)  |                       |       |       |
|        |                   |                 | (18, 0.055)  |                       |       |       |
|   31   |   30808316+0oo0   |       [22]      | (27, 0.088)  |  0.03797468354430378  |   0   |   0   |
|        |                   |                 | (28, 0.088)  |                       |       |       |
|        |                   |                 | (29, 0.088)  |                       |       |       |
|        |                   |                 | (19, 0.062)  |                       |       |       |
|        |                   |                 | (20, 0.062)  |                       |       |       |
|        |                   |                 | (26, 0.062)  |                       |       |       |
|        |                   |                 |  (4, 0.056)  |                       |       |       |
|        |                   |                 | (17, 0.046)  |                       |       |       |
|        |                   |                 |  (2, 0.036)  |                       |       |       |
|        |                   |                 |  (3, 0.036)  |                       |       |       |
|   59   |   dynamitechetan  |       [18]      | (19, 0.164)  |  0.011166253101736976 |   0   |   0   |
|        |                   |                 | (20, 0.164)  |                       |       |       |
|        |                   |                 | (26, 0.162)  |                       |       |       |
|        |                   |                 |  (30, 0.12)  |                       |       |       |
|        |                   |                 |  (31, 0.12)  |                       |       |       |
|        |                   |                 | (52, 0.112)  |                       |       |       |
|        |                   |                 | (22, 0.062)  |                       |       |       |
|        |                   |                 | (47, 0.052)  |                       |       |       |
|        |                   |                 | (48, 0.052)  |                       |       |       |
|        |                   |                 | (49, 0.052)  |                       |       |       |
|   64   |    1anuppanwar    |       [24]      | (27, 0.162)  |  0.00839454354669465  |   0   |   0   |
|        |                   |                 | (28, 0.162)  |                       |       |       |
|        |                   |                 | (50, 0.156)  |                       |       |       |
|        |                   |                 | (51, 0.156)  |                       |       |       |
|        |                   |                 | (58, 0.142)  |                       |       |       |
|        |                   |                 | (59, 0.142)  |                       |       |       |
|        |                   |                 |  (26, 0.13)  |                       |       |       |
