+--------+----------------------+------------------------------------------------------+--------------+------------------------+-------+-------+
| commit |         user         |                   changed_objects                    | top 10 pred  |         score          | top 3 | top 5 |
+--------+----------------------+------------------------------------------------------+--------------+------------------------+-------+-------+
|   8    |    kdavis-mozilla    |                       [11, 13]                       |              |          0.0           |   0   |   0   |
|   10   |    kdavis-mozilla    |                       [12, 15]                       | (11, 0.714)  |          0.4           |   1   |   2   |
|        |                      |                                                      | (12, 0.714)  |                        |       |       |
|        |                      |                                                      | (13, 0.714)  |                        |       |       |
|        |                      |                                                      | (14, 0.714)  |                        |       |       |
|        |                      |                                                      | (15, 0.714)  |                        |       |       |
|   18   |    kdavis-mozilla    |                         [25]                         |  (20, 0.71)  |  0.11940800538176925   |   0   |   0   |
|        |                      |                                                      |  (21, 0.71)  |                        |       |       |
|        |                      |                                                      |  (22, 0.71)  |                        |       |       |
|        |                      |                                                      |  (23, 0.71)  |                        |       |       |
|        |                      |                                                      |  (24, 0.71)  |                        |       |       |
|        |                      |                                                      |  (25, 0.71)  |                        |       |       |
|        |                      |                                                      |  (18, 0.57)  |                        |       |       |
|        |                      |                                                      | (11, 0.558)  |                        |       |       |
|        |                      |                                                      | (13, 0.558)  |                        |       |       |
|   19   |    kdavis-mozilla    |                         [25]                         |  (20, 0.95)  |  0.08351893095768374   |   0   |   0   |
|        |                      |                                                      |  (21, 0.95)  |                        |       |       |
|        |                      |                                                      |  (22, 0.95)  |                        |       |       |
|        |                      |                                                      |  (23, 0.95)  |                        |       |       |
|        |                      |                                                      |  (24, 0.95)  |                        |       |       |
|        |                      |                                                      | (11, 0.617)  |                        |       |       |
|        |                      |                                                      | (13, 0.617)  |                        |       |       |
|        |                      |                                                      |  (18, 0.6)   |                        |       |       |
|        |                      |                                                      |  (25, 0.6)   |                        |       |       |
|   20   |    kdavis-mozilla    |                         [22]                         |  (20, 0.85)  |  0.14105542648523067   |   1   |   1   |
|        |                      |                                                      |  (21, 0.85)  |                        |       |       |
|        |                      |                                                      |  (22, 0.85)  |                        |       |       |
|        |                      |                                                      |  (23, 0.85)  |                        |       |       |
|        |                      |                                                      |  (24, 0.85)  |                        |       |       |
|        |                      |                                                      | (11, 0.508)  |                        |       |       |
|        |                      |                                                      | (13, 0.508)  |                        |       |       |
|        |                      |                                                      |  (18, 0.46)  |                        |       |       |
|        |                      |                                                      |  (25, 0.3)   |                        |       |       |
