+--------+----------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+------------------------+-------+-------+
| commit |      user      |                                                                                                      changed_objects                                                                                                      | top 10 pred |         score          | top 3 | top 5 |
+--------+----------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+------------------------+-------+-------+
|   5    |    fraggle     |                                                                                                           [5, 6]                                                                                                          |  (2, 0.708) |   0.1590832490731378   |   0   |   2   |
|        |                |                                                                                                                                                                                                                           |  (3, 0.708) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (4, 0.708) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (5, 0.708) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (6, 0.708) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (8, 0.708) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (9, 0.708) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (10, 0.708) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (11, 0.586) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (12, 0.586) |                        |       |       |
|   7    |    fraggle     |                                                                                                         [8, 9, 10]                                                                                                        |  (2, 0.711) |   0.2317470664928292   |   0   |   2   |
|        |                |                                                                                                                                                                                                                           |  (3, 0.711) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (4, 0.711) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (8, 0.711) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (9, 0.711) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (10, 0.711) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (5, 0.652) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (6, 0.652) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (14, 0.62) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (15, 0.62) |                        |       |       |
|   8    |    fraggle     |                                                                                                           [2, 3]                                                                                                          |  (2, 0.747) |  0.17789949988092404   |   2   |   2   |
|        |                |                                                                                                                                                                                                                           |  (3, 0.747) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (4, 0.747) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (5, 0.707) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (6, 0.707) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (8, 0.627) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (9, 0.627) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (10, 0.627) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (14, 0.45) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (15, 0.45) |                        |       |       |
|   9    |    fraggle     |                                                                                                            [4]                                                                                                            |  (4, 0.74)  |  0.08796956728483118   |   1   |   1   |
|        |                |                                                                                                                                                                                                                           |  (5, 0.707) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (6, 0.707) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (8, 0.707) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (9, 0.707) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (10, 0.707) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (2, 0.557) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (3, 0.557) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (14, 0.49) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (15, 0.49) |                        |       |       |
