+--------+----------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+-----------------------+-------+-------+
| commit |      user      |                                                                                                      changed_objects                                                                                                      | top 10 pred |         score         | top 3 | top 5 |
+--------+----------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+-----------------------+-------+-------+
|   5    |    fraggle     |                                                                                                           [5, 6]                                                                                                          |  (2, 0.608) |   0.172972972972973   |   0   |   2   |
|        |                |                                                                                                                                                                                                                           |  (3, 0.608) |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (4, 0.608) |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (5, 0.608) |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (6, 0.608) |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (8, 0.608) |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (9, 0.608) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (10, 0.608) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (11, 0.443) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (12, 0.443) |                       |       |       |
|   7    |    fraggle     |                                                                                                         [8, 9, 10]                                                                                                        |  (2, 0.555) |  0.25400457665903897  |   0   |   2   |
|        |                |                                                                                                                                                                                                                           |  (3, 0.555) |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (4, 0.555) |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (8, 0.555) |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (9, 0.555) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (10, 0.555) |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (5, 0.502) |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (6, 0.502) |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (14, 0.38) |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (15, 0.38) |                       |       |       |
|   8    |    fraggle     |                                                                                                           [2, 3]                                                                                                          |  (2, 0.56)  |   0.1808201485308363  |   2   |   2   |
|        |                |                                                                                                                                                                                                                           |  (3, 0.56)  |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (4, 0.56)  |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (5, 0.52)  |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (6, 0.52)  |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (8, 0.493) |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (9, 0.493) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (10, 0.493) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (14, 0.301) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (15, 0.301) |                       |       |       |
|   9    |    fraggle     |                                                                                                            [4]                                                                                                            |  (4, 0.553) |   0.0918452084371367  |   1   |   1   |
|        |                |                                                                                                                                                                                                                           |  (5, 0.52)  |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (6, 0.52)  |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (8, 0.52)  |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (9, 0.52)  |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (10, 0.52) |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (2, 0.47)  |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (3, 0.47)  |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (14, 0.303) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (15, 0.303) |                       |       |       |
|   12   |    fraggle     |                                                                                                  [11, 14, 12, 15, 13, 16]                                                                                                 |  (8, 0.412) |  0.27620476279767475  |   0   |   0   |
|        |                |                                                                                                                                                                                                                           |  (9, 0.412) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (10, 0.412) |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (2, 0.381) |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (3, 0.381) |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (5, 0.381) |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (6, 0.381) |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (4, 0.267) |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (21, 0.25) |                       |       |       |
