               user                                           modified                      added  modified_centrality  all_centrality  modified_proximity  all_proximity  modified_changeExtent  all_changeExtent
0           fraggle                                                 []  [2, 3, 4, 5, 6, 8, 9, 10]             0.000000        0.000000            0.000000       0.000000               0.000000          0.000000
1           fraggle                                                 []               [11, 12, 13]             0.000000        8.000000            0.000000       7.304348               0.000000          0.000000
2           fraggle                                                 []               [14, 15, 16]             0.000000        6.636364            0.000000       8.838235               0.000000          8.000000
3           fraggle                                             [5, 6]                         []             1.142857        5.857143            1.647059      10.552521               1.000000          7.000000
4           fraggle                                                 []                       [18]             0.000000        5.857143            0.000000      11.692308               0.000000          6.500000
5           fraggle                                         [8, 9, 10]                         []             1.600000        5.533333            2.769231      12.156643               0.750000          4.000000
6           fraggle                                             [2, 3]                         []             1.066667        5.533333            2.000000      11.028571               0.400000          3.350000
7           fraggle                                                [4]                         []             0.533333        5.533333            1.000000      11.500000               0.166667          2.016667
8           fraggle                                                 []               [21, 22, 23]             0.000000        5.533333            0.000000      11.800000               0.000000          1.433333
9           fraggle                           [11, 14, 12, 15, 13, 16]   [24, 25, 26, 27, 28, 29]             1.000000        5.111111            3.428571      10.146104               0.928571          1.178571
10          fraggle                                         [8, 9, 10]                         []             1.000000        9.083333            1.200000      14.299451               0.000000          3.200000
11          fraggle                          [4, 21, 23, 5, 18, 8, 10]                         []             1.625000        9.083333            4.892857      19.998596               1.166667          7.666667
12          fraggle                                                 []                   [30, 31]             0.000000       10.250000            0.000000      18.552298               0.000000          3.333333
13          fraggle                                  [3, 31, 22, 6, 9]                         []             1.115385        9.615385            3.083333      20.687324               0.250000          2.250000
14          fraggle                                      [3, 22, 6, 9]                         []             1.423077       10.153846            3.550952      20.635896               0.000000          2.500000
15          fraggle                                                [3]                         []             0.384615       10.153846            0.846154      19.378813               0.000000          1.700000
16          fraggle                                                 []                       [33]             0.000000       10.153846            0.000000      20.972639               0.000000          1.333333
17          fraggle                                               [33]                         []             0.037037        9.814815            0.000000      22.240893               0.000000          1.107143
18          fraggle                                                 []                       [34]             0.000000        9.814815            0.000000      21.506369               0.000000          0.950000
19          fraggle                                               [34]                         []             0.035714        9.500000            0.000000      22.018944               0.000000          0.833333
20          fraggle                        [14, 15, 16, 25, 27, 29, 9]                         []             2.928571        9.500000            6.435714      22.018944               0.300000          0.742857
21          fraggle                                        [4, 23, 10]                         []             1.071429        9.928571            2.036364      19.238228               0.000000          0.397727
22          fraggle                                        [22, 33, 9]                       [41]             0.857143        9.928571            1.818681      22.433160               0.000000          0.361111
23          fraggle                                                 []                       [42]             0.000000        9.965517            0.000000      22.379785               0.000000          0.330769
24          fraggle                                           [30, 31]                         []             0.266667        9.666667            1.166667      24.998869               0.090909          1.305195
25          fraggle                                                 []                       [43]             0.000000        9.666667            0.000000      23.878453               0.000000          1.700000
26          fraggle                                           [34, 33]                         []             0.161290        9.387097            0.857143      25.323111               0.000000          1.020833
27          fraggle                                           [34, 33]                         []             0.225806        9.451613            1.350000      24.243695               0.000000          1.759804
28          fraggle                                                 []                       [44]             0.000000        9.451613            0.000000      21.571509               0.000000          1.116667
29          fraggle                                               [44]                         []             0.031250        9.187500            0.000000      22.628981               0.000000          0.857895
30          fraggle                                                 []                   [45, 46]             0.000000        9.187500            0.000000      23.905098               0.000000          0.709524
31          fraggle                                       [30, 31, 43]                         []             0.264706        8.764706            1.000000      23.262314               0.200000          0.610714
32          fraggle                                       [34, 33, 44]                         []             0.235294        8.882353            1.142857      24.748677               0.000000          2.372475
33          fraggle                                   [13, 16, 28, 29]                         []             1.470588        9.000000            3.523435      25.567076               0.043478          1.341546
34          fraggle                                           [30, 31]                         []             0.294118        9.000000            1.272727      24.910231               0.000000          0.940909
35          fraggle                                               [13]                         []             0.352941        9.000000            0.900000      27.415001               0.000000          0.754242
