+--------+---------+-----------------+-------------+---------------------+-------+-------+
| commit |   user  | changed_objects | top 10 pred |        score        | top 3 | top 5 |
+--------+---------+-----------------+-------------+---------------------+-------+-------+
|   2    |  daniel |    [5, 6, 7]    |  (4, 0.691) |         0.75        |   2   |  None |
|        |         |                 |  (5, 0.691) |                     |       |       |
|        |         |                 |  (6, 0.691) |                     |       |       |
|        |         |                 |  (7, 0.691) |                     |       |       |
|   3    |  daniel |      [5, 7]     |   (4, 1.0)  |  0.4427275780987571 |   1   |  None |
|        |         |                 |  (5, 0.659) |                     |       |       |
|        |         |                 |  (6, 0.659) |                     |       |       |
|        |         |                 |  (7, 0.659) |                     |       |       |
|   4    |  daniel |       [7]       |   (4, 0.9)  |  0.2149894440534835 |   0   |  None |
|        |         |                 |  (6, 0.72)  |                     |       |       |
|        |         |                 |  (5, 0.611) |                     |       |       |
|        |         |                 |  (7, 0.611) |                     |       |       |
|   5    |  daniel |       [4]       |  (4, 0.867) |  0.3058201058201058 |   1   |  None |
|        |         |                 |   (6, 0.8)  |                     |       |       |
|        |         |                 |  (5, 0.65)  |                     |       |       |
|        |         |                 |  (7, 0.518) |                     |       |       |
|   6    |  daniel |       [6]       |   (6, 0.8)  |  0.2991772625280479 |   1   |  None |
|        |         |                 |  (5, 0.714) |                     |       |       |
|        |         |                 |   (4, 0.6)  |                     |       |       |
|        |         |                 |  (7, 0.56)  |                     |       |       |
|   8    |  daniel |       [6]       |   (4, 0.8)  | 0.26229508196721313 |   1   |  None |
|        |         |                 |   (5, 0.8)  |                     |       |       |
|        |         |                 |   (6, 0.8)  |                     |       |       |
|        |         |                 |  (7, 0.65)  |                     |       |       |
|   9    |  daniel |      [5, 7]     |   (4, 0.8)  |  0.5714285714285714 |   2   |  None |
|        |         |                 |   (5, 0.8)  |                     |       |       |
|        |         |                 |   (7, 0.8)  |                     |       |       |
|        |         |                 |   (6, 0.4)  |                     |       |       |
|   10   |  shane  |      [5, 7]     |  (7, 0.325) |  0.5319148936170213 |   2   |  None |
|        |         |                 |   (5, 0.3)  |                     |       |       |
|        |         |                 |   (6, 0.3)  |                     |       |       |
|        |         |                 |  (4, 0.25)  |                     |       |       |
|   11   |  shane  |      [5, 7]     |  (6, 0.849) |  0.4447430298958684 |   1   |  None |
|        |         |                 |  (4, 0.804) |                     |       |       |
|        |         |                 |  (5, 0.662) |                     |       |       |
|        |         |                 |  (7, 0.662) |                     |       |       |
|   12   |  shane  |       [5]       |  (6, 0.84)  | 0.21782518926359257 |   1   |  None |
|        |         |                 |   (4, 0.8)  |                     |       |       |
|        |         |                 |  (5, 0.633) |                     |       |       |
|        |         |                 |  (7, 0.633) |                     |       |       |
|   13   |  shane  |       [5]       |  (6, 0.833) | 0.19660194174757278 |   0   |  None |
|        |         |                 |  (4, 0.796) |                     |       |       |
|        |         |                 |  (7, 0.688) |                     |       |       |
|        |         |                 |  (5, 0.567) |                     |       |       |
|   14   |  shane  |      [5, 7]     |  (6, 0.827) |  0.4369134515119917 |   1   |  None |
|        |         |                 |  (4, 0.793) |                     |       |       |
|        |         |                 |  (7, 0.757) |                     |       |       |
|        |         |                 |   (5, 0.5)  |                     |       |       |
|   15   |  shane  |      [5, 7]     |  (6, 0.822) |  0.4302366654892264 |   1   |  None |
|        |         |                 |  (4, 0.791) |                     |       |       |
|        |         |                 |  (7, 0.705) |                     |       |       |
|        |         |                 |  (5, 0.513) |                     |       |       |
|   16   |  shane  |      [5, 7]     |  (6, 0.817) | 0.42683797287651687 |   1   |  None |
|        |         |                 |  (4, 0.789) |                     |       |       |
|        |         |                 |  (7, 0.675) |                     |       |       |
|        |         |                 |  (5, 0.521) |                     |       |       |
|   17   |  shane  |       [5]       |  (6, 0.813) | 0.18943206326383896 |   0   |  None |
|        |         |                 |  (4, 0.787) |                     |       |       |
|        |         |                 |  (7, 0.655) |                     |       |       |
|        |         |                 |  (5, 0.527) |                     |       |       |
|   18   |  shane  |       [5]       |  (6, 0.81)  |  0.1769369369369369 |   0   |  None |
|        |         |                 |  (4, 0.785) |                     |       |       |
|        |         |                 |  (7, 0.689) |                     |       |       |
|        |         |                 |  (5, 0.491) |                     |       |       |
|   19   |  shane  |       [5]       |  (6, 0.807) |  0.1640230713770728 |   0   |  None |
|        |         |                 |  (4, 0.784) |                     |       |       |
|        |         |                 |  (7, 0.728) |                     |       |       |
|        |         |                 |  (5, 0.455) |                     |       |       |
|   20   |  shane  |       [5]       |  (6, 0.804) | 0.15046796256299494 |   0   |  None |
|        |         |                 |  (4, 0.782) |                     |       |       |
|        |         |                 |  (7, 0.774) |                     |       |       |
|        |         |                 |  (5, 0.418) |                     |       |       |
|   21   | urielha |       [5]       |  (5, 0.358) | 0.34225621414913954 |   1   |  None |
|        |         |                 |  (7, 0.305) |                     |       |       |
|        |         |                 |  (6, 0.202) |                     |       |       |
|        |         |                 |  (4, 0.181) |                     |       |       |
|   22   | urielha |       [5]       |  (7, 0.817) | 0.07864726700747149 |   0   |  None |
|        |         |                 |  (6, 0.773) |                     |       |       |
|        |         |                 |  (4, 0.753) |                     |       |       |
|        |         |                 |   (5, 0.2)  |                     |       |       |
|   23   | urielha |       [7]       |  (7, 0.812) |  0.3203155818540434 |   1   |  None |
|        |         |                 |  (6, 0.771) |                     |       |       |
|        |         |                 |  (4, 0.752) |                     |       |       |
|        |         |                 |   (5, 0.2)  |                     |       |       |
|   24   | urielha |       [7]       |  (6, 0.77)  | 0.24932873034138855 |   1   |  None |
|        |         |                 |  (4, 0.752) |                     |       |       |
|        |         |                 |  (7, 0.65)  |                     |       |       |
|        |         |                 |  (5, 0.435) |                     |       |       |
+--------+---------+-----------------+-------------+---------------------+-------+-------+
