       user   modified         added  modified_centrality  all_centrality  modified_proximity  all_proximity  modified_changeExtent  all_changeExtent
0    daniel         []  [4, 5, 6, 7]             0.000000        0.000000            0.000000       0.000000               0.000000          0.000000
1    daniel  [5, 6, 7]            []             3.000000        4.000000            2.454545       3.272727               0.000000          0.000000
2    daniel     [5, 7]            []             2.000000        4.000000            1.529412       3.294118               0.000000          1.000000
3    daniel        [7]            []             1.000000        4.000000            0.684211       3.235088               0.000000          0.500000
4    daniel        [4]            []             1.000000        4.000000            1.000000       3.279412               0.333333          0.333333
5    daniel        [6]            []             1.000000        4.000000            1.000000       3.123810               0.000000          0.000000
6    daniel        [6]            []             1.000000        4.000000            0.714286       3.350649               0.000000          0.000000
7    daniel     [5, 7]            []             2.000000        4.000000            1.777778       3.111111               0.000000          0.000000
8     shane     [5, 7]            []             2.000000        4.000000            0.000000       0.000000               1.285714          2.142857
9     shane     [5, 7]            []             2.000000        3.600000            1.483516       3.150183               0.000000          0.750000
10    shane        [5]            []             1.000000        3.600000            0.722222       3.206433               0.000000          0.666667
11    shane        [5]            []             1.000000        3.600000            0.611111       3.175817               0.000000          0.600000
12    shane     [5, 7]            []             2.000000        3.600000            1.366667       3.166667               0.000000          0.545455
13    shane     [5, 7]            []             2.000000        3.600000            1.321739       3.178882               0.000000          0.500000
14    shane     [5, 7]            []             2.000000        3.600000            1.295714       3.184603               0.000000          0.461538
15    shane        [5]            []             1.000000        3.600000            0.545455       3.187879               0.000000          0.428571
16    shane        [5]            []             1.000000        3.600000            0.484848       3.179654               0.000000          0.400000
17    shane        [5]            []             1.000000        3.600000            0.424242       3.179487               0.000000          0.375000
18    shane        [5]            []             1.000000        3.600000            0.363636       3.189394               0.000000          0.352941
19  urielha        [5]            []             1.000000        3.600000            0.000000       0.000000               0.833333          1.722222
20  urielha        [5]            []             1.000000        3.166667            0.000000       2.346154               0.000000          0.842105
21  urielha        [7]            []             0.833333        3.166667            0.846154       2.512821               0.500000          0.800000
22  urielha        [7]            []             1.000000        3.333333            0.692308       2.750279               0.000000          0.285714
23  @total@         []            []            30.833333       81.266667           19.317844      62.075166               2.952381         12.706405
