+--------+---------+-----------------+-------------+---------------------+-------+-------+
| commit |   user  | changed_objects | top 10 pred |        score        | top 3 | top 5 |
+--------+---------+-----------------+-------------+---------------------+-------+-------+
|   19   |  shane  |       [5]       |  (6, 0.804) | 0.15046796256299494 |   0   |  None |
|        |         |                 |  (4, 0.782) |                     |       |       |
|        |         |                 |  (7, 0.774) |                     |       |       |
|        |         |                 |  (5, 0.418) |                     |       |       |
|   20   | urielha |       [5]       |  (5, 0.358) | 0.34225621414913954 |   1   |  None |
|        |         |                 |  (7, 0.305) |                     |       |       |
|        |         |                 |  (6, 0.202) |                     |       |       |
|        |         |                 |  (4, 0.181) |                     |       |       |
|   21   | urielha |       [5]       |  (7, 0.817) | 0.07864726700747149 |   0   |  None |
|        |         |                 |  (6, 0.773) |                     |       |       |
|        |         |                 |  (4, 0.753) |                     |       |       |
|        |         |                 |   (5, 0.2)  |                     |       |       |
|   22   | urielha |       [7]       |  (7, 0.812) |  0.3203155818540434 |   1   |  None |
|        |         |                 |  (6, 0.771) |                     |       |       |
|        |         |                 |  (4, 0.752) |                     |       |       |
|        |         |                 |   (5, 0.2)  |                     |       |       |
|   23   | urielha |       [7]       |  (6, 0.77)  | 0.24932873034138855 |   1   |  None |
|        |         |                 |  (4, 0.752) |                     |       |       |
|        |         |                 |  (7, 0.65)  |                     |       |       |
|        |         |                 |  (5, 0.435) |                     |       |       |
+--------+---------+-----------------+-------------+---------------------+-------+-------+
