+--------+-------------------+------------------------------------------------------------------+--------------+-----------------------+-------+-------+
| commit |        user       |                         changed_objects                          | top 10 pred  |         score         | top 3 | top 5 |
+--------+-------------------+------------------------------------------------------------------+--------------+-----------------------+-------+-------+
|   3    |      stephen      |                           [5, 11, 18]                            |  (5, 0.768)  |   0.2307692307692308  |   1   |   1   |
|        |                   |                                                                  |  (6, 0.768)  |                       |       |       |
|        |                   |                                                                  |  (7, 0.768)  |                       |       |       |
|        |                   |                                                                  |  (8, 0.768)  |                       |       |       |
|        |                   |                                                                  |  (9, 0.768)  |                       |       |       |
|        |                   |                                                                  | (10, 0.768)  |                       |       |       |
|        |                   |                                                                  | (11, 0.768)  |                       |       |       |
|        |                   |                                                                  | (12, 0.768)  |                       |       |       |
|        |                   |                                                                  | (13, 0.768)  |                       |       |       |
|        |                   |                                                                  | (15, 0.768)  |                       |       |       |
|   4    |      stephen      |                               [13]                               |   (6, 1.0)   |  0.08248102936324644  |   0   |   0   |
|        |                   |                                                                  |   (7, 1.0)   |                       |       |       |
|        |                   |                                                                  |   (8, 1.0)   |                       |       |       |
|        |                   |                                                                  |   (9, 1.0)   |                       |       |       |
|        |                   |                                                                  |  (10, 1.0)   |                       |       |       |
|        |                   |                                                                  |  (12, 1.0)   |                       |       |       |
|        |                   |                                                                  |  (13, 1.0)   |                       |       |       |
|        |                   |                                                                  |  (15, 1.0)   |                       |       |       |
|        |                   |                                                                  |  (16, 1.0)   |                       |       |       |
|        |                   |                                                                  |  (17, 1.0)   |                       |       |       |
|   5    |         mu        |                    [8, 9, 11, 13, 16, 17, 18]                    |   (5, 0.4)   |   0.558139534883721   |   2   |   3   |
|        |                   |                                                                  |  (11, 0.4)   |                       |       |       |
|        |                   |                                                                  |  (13, 0.4)   |                       |       |       |
|        |                   |                                                                  |  (18, 0.4)   |                       |       |       |
|        |                   |                                                                  |   (6, 0.3)   |                       |       |       |
|        |                   |                                                                  |   (7, 0.3)   |                       |       |       |
|        |                   |                                                                  |   (8, 0.3)   |                       |       |       |
|        |                   |                                                                  |   (9, 0.3)   |                       |       |       |
|        |                   |                                                                  |  (10, 0.3)   |                       |       |       |
|        |                   |                                                                  |  (12, 0.3)   |                       |       |       |
|   6    |         mu        |            [7, 8, 9, 10, 11, 13, 20, 15, 16, 17, 18]             | (13, 0.736)  |   0.7993329627570872  |   3   |   4   |
|        |                   |                                                                  | (11, 0.697)  |                       |       |       |
|        |                   |                                                                  | (18, 0.697)  |                       |       |       |
|        |                   |                                                                  |  (5, 0.697)  |                       |       |       |
|        |                   |                                                                  |  (8, 0.686)  |                       |       |       |
|        |                   |                                                                  |  (9, 0.686)  |                       |       |       |
|        |                   |                                                                  | (16, 0.686)  |                       |       |       |
|        |                   |                                                                  | (17, 0.686)  |                       |       |       |
|        |                   |                                                                  | (20, 0.654)  |                       |       |       |
|        |                   |                                                                  |  (6, 0.554)  |                       |       |       |
|   7    |         mu        |                        [7, 9, 11, 16, 17]                        |  (8, 0.764)  |  0.36342659359676954  |   2   |   3   |
|        |                   |                                                                  |  (9, 0.764)  |                       |       |       |
|        |                   |                                                                  | (16, 0.764)  |                       |       |       |
|        |                   |                                                                  | (17, 0.764)  |                       |       |       |
|        |                   |                                                                  |  (5, 0.758)  |                       |       |       |
|        |                   |                                                                  |  (7, 0.752)  |                       |       |       |
|        |                   |                                                                  | (10, 0.752)  |                       |       |       |
|        |                   |                                                                  | (15, 0.752)  |                       |       |       |
|        |                   |                                                                  |  (13, 0.75)  |                       |       |       |
|        |                   |                                                                  | (11, 0.736)  |                       |       |       |
|   8    |         mu        |                [7, 9, 11, 13, 20, 15, 16, 17, 18]                |  (8, 0.78)   |   0.6439364957918899  |   1   |   2   |
|        |                   |                                                                  | (10, 0.772)  |                       |       |       |
|        |                   |                                                                  | (15, 0.772)  |                       |       |       |
|        |                   |                                                                  | (13, 0.766)  |                       |       |       |
|        |                   |                                                                  |  (5, 0.753)  |                       |       |       |
|        |                   |                                                                  |  (7, 0.752)  |                       |       |       |
|        |                   |                                                                  | (18, 0.749)  |                       |       |       |
|        |                   |                                                                  |  (9, 0.748)  |                       |       |       |
|        |                   |                                                                  | (16, 0.748)  |                       |       |       |
|        |                   |                                                                  | (17, 0.748)  |                       |       |       |
|   9    |         mu        |                             [9, 16]                              |   (8, 0.8)   |  0.14288443170964657  |   0   |   0   |
|        |                   |                                                                  | (15, 0.781)  |                       |       |       |
|        |                   |                                                                  | (10, 0.771)  |                       |       |       |
|        |                   |                                                                  | (13, 0.761)  |                       |       |       |
|        |                   |                                                                  | (18, 0.756)  |                       |       |       |
|        |                   |                                                                  |  (7, 0.751)  |                       |       |       |
|        |                   |                                                                  |  (9, 0.748)  |                       |       |       |
|        |                   |                                                                  | (16, 0.748)  |                       |       |       |
|        |                   |                                                                  | (17, 0.748)  |                       |       |       |
|        |                   |                                                                  |  (5, 0.74)   |                       |       |       |
|   10   |         mu        |                        [7, 9, 11, 16, 18]                        |   (8, 0.8)   |   0.3552042662603562  |   0   |   1   |
|        |                   |                                                                  |  (15, 0.8)   |                       |       |       |
|        |                   |                                                                  | (13, 0.774)  |                       |       |       |
|        |                   |                                                                  | (18, 0.767)  |                       |       |       |
|        |                   |                                                                  | (10, 0.766)  |                       |       |       |
|        |                   |                                                                  |  (7, 0.763)  |                       |       |       |
|        |                   |                                                                  | (17, 0.757)  |                       |       |       |
|        |                   |                                                                  | (11, 0.748)  |                       |       |       |
|        |                   |                                                                  |  (5, 0.734)  |                       |       |       |
|        |                   |                                                                  | (20, 0.728)  |                       |       |       |
|   11   |         mu        |                         [9, 10, 11, 18]                          |   (8, 0.8)   |  0.28201248344997165  |   0   |   1   |
|        |                   |                                                                  |  (15, 0.8)   |                       |       |       |
|        |                   |                                                                  | (13, 0.791)  |                       |       |       |
|        |                   |                                                                  |  (17, 0.77)  |                       |       |       |
|        |                   |                                                                  | (10, 0.766)  |                       |       |       |
|        |                   |                                                                  | (18, 0.761)  |                       |       |       |
|        |                   |                                                                  |  (5, 0.754)  |                       |       |       |
|        |                   |                                                                  |  (7, 0.749)  |                       |       |       |
|        |                   |                                                                  | (20, 0.747)  |                       |       |       |
|        |                   |                                                                  | (11, 0.738)  |                       |       |       |
|   12   |         mu        |                     [9, 10, 11, 15, 16, 18]                      | (15, 0.776)  |   0.4101497504159732  |   2   |   2   |
|        |                   |                                                                  |  (8, 0.774)  |                       |       |       |
|        |                   |                                                                  | (10, 0.768)  |                       |       |       |
|        |                   |                                                                  | (13, 0.768)  |                       |       |       |
|        |                   |                                                                  | (17, 0.764)  |                       |       |       |
|        |                   |                                                                  | (18, 0.748)  |                       |       |       |
|        |                   |                                                                  |  (7, 0.743)  |                       |       |       |
|        |                   |                                                                  | (11, 0.727)  |                       |       |       |
|        |                   |                                                                  | (20, 0.727)  |                       |       |       |
|        |                   |                                                                  |  (5, 0.721)  |                       |       |       |
|   13   |         mu        |                               [22]                               |  (8, 0.787)  |  0.06382787987449574  |   0   |   0   |
|        |                   |                                                                  | (17, 0.787)  |                       |       |       |
|        |                   |                                                                  | (13, 0.777)  |                       |       |       |
|        |                   |                                                                  |  (7, 0.769)  |                       |       |       |
|        |                   |                                                                  | (15, 0.767)  |                       |       |       |
|        |                   |                                                                  | (10, 0.752)  |                       |       |       |
|        |                   |                                                                  |  (5, 0.744)  |                       |       |       |
|        |                   |                                                                  | (18, 0.739)  |                       |       |       |
|        |                   |                                                                  | (20, 0.738)  |                       |       |       |
|        |                   |                                                                  |  (6, 0.724)  |                       |       |       |
|   14   |         mu        |                           [9, 11, 20]                            | (17, 0.724)  |  0.18860307923394665  |   0   |   0   |
|        |                   |                                                                  |  (7, 0.718)  |                       |       |       |
|        |                   |                                                                  | (15, 0.715)  |                       |       |       |
|        |                   |                                                                  | (13, 0.705)  |                       |       |       |
|        |                   |                                                                  | (10, 0.702)  |                       |       |       |
|        |                   |                                                                  |  (8, 0.698)  |                       |       |       |
|        |                   |                                                                  | (18, 0.697)  |                       |       |       |
|        |                   |                                                                  | (11, 0.679)  |                       |       |       |
|        |                   |                                                                  |  (20, 0.67)  |                       |       |       |
|        |                   |                                                                  | (16, 0.665)  |                       |       |       |
|   17   |         mu        |                               [23]                               | (18, 0.734)  |  0.026089271452657735 |   0   |   0   |
|        |                   |                                                                  | (10, 0.732)  |                       |       |       |
|        |                   |                                                                  | (17, 0.732)  |                       |       |       |
|        |                   |                                                                  |  (7, 0.73)   |                       |       |       |
|        |                   |                                                                  | (15, 0.728)  |                       |       |       |
|        |                   |                                                                  |  (8, 0.721)  |                       |       |       |
|        |                   |                                                                  | (13, 0.714)  |                       |       |       |
|        |                   |                                                                  | (16, 0.701)  |                       |       |       |
|        |                   |                                                                  | (20, 0.689)  |                       |       |       |
|        |                   |                                                                  | (11, 0.675)  |                       |       |       |
|   18   |         mu        |                           [22, 24, 25]                           | (18, 0.733)  |  0.11447811447811447  |   0   |   0   |
|        |                   |                                                                  | (17, 0.732)  |                       |       |       |
|        |                   |                                                                  |  (10, 0.73)  |                       |       |       |
|        |                   |                                                                  |  (7, 0.729)  |                       |       |       |
|        |                   |                                                                  | (15, 0.727)  |                       |       |       |
|        |                   |                                                                  |  (8, 0.718)  |                       |       |       |
|        |                   |                                                                  | (16, 0.716)  |                       |       |       |
|        |                   |                                                                  | (13, 0.712)  |                       |       |       |
|        |                   |                                                                  | (11, 0.688)  |                       |       |       |
|        |                   |                                                                  | (20, 0.687)  |                       |       |       |
|   19   |         mu        |                           [23, 22, 28]                           | (18, 0.707)  |   0.1102500230648584  |   0   |   0   |
|        |                   |                                                                  | (16, 0.701)  |                       |       |       |
|        |                   |                                                                  | (17, 0.691)  |                       |       |       |
|        |                   |                                                                  |  (11, 0.68)  |                       |       |       |
|        |                   |                                                                  |  (7, 0.679)  |                       |       |       |
|        |                   |                                                                  | (10, 0.679)  |                       |       |       |
|        |                   |                                                                  | (15, 0.673)  |                       |       |       |
|        |                   |                                                                  | (13, 0.659)  |                       |       |       |
|        |                   |                                                                  |  (9, 0.655)  |                       |       |       |
|        |                   |                                                                  |  (8, 0.636)  |                       |       |       |
|   20   |         mu        |                 [5, 7, 8, 9, 10, 23, 22, 28, 15]                 | (18, 0.707)  |  0.46030569708198227  |   0   |   1   |
|        |                   |                                                                  | (11, 0.695)  |                       |       |       |
|        |                   |                                                                  | (16, 0.691)  |                       |       |       |
|        |                   |                                                                  | (17, 0.679)  |                       |       |       |
|        |                   |                                                                  | (10, 0.676)  |                       |       |       |
|        |                   |                                                                  |  (9, 0.669)  |                       |       |       |
|        |                   |                                                                  |  (7, 0.663)  |                       |       |       |
|        |                   |                                                                  | (15, 0.655)  |                       |       |       |
|        |                   |                                                                  | (13, 0.642)  |                       |       |       |
|        |                   |                                                                  | (20, 0.609)  |                       |       |       |
|   21   |         mu        |                       [11, 13, 20, 23, 15]                       |  (7, 0.744)  |  0.27239088386174415  |   1   |   1   |
|        |                   |                                                                  | (15, 0.742)  |                       |       |       |
|        |                   |                                                                  | (10, 0.739)  |                       |       |       |
|        |                   |                                                                  |  (8, 0.736)  |                       |       |       |
|        |                   |                                                                  |  (9, 0.71)   |                       |       |       |
|        |                   |                                                                  |  (5, 0.703)  |                       |       |       |
