                  user                                           modified                                            added  modified_centrality  all_centrality  modified_proximity  all_proximity  modified_changeExtent  all_changeExtent
0              stephen                                                 []  [5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18]             0.000000        0.000000            0.000000       0.000000               0.000000          0.000000
1              stephen                                        [5, 11, 18]                                               []             3.000000       13.000000            2.842105      12.315789               0.000000          0.000000
2              stephen                                               [13]                                               []             1.000000       13.000000            1.000000      12.538462               1.000000         10.000000
3                   mu                         [8, 9, 11, 13, 16, 17, 18]                                             [20]             7.000000       13.000000            0.000000       0.000000               5.000000          8.500000
4                   mu          [7, 8, 9, 10, 11, 13, 20, 15, 16, 17, 18]                                               []            10.133333       12.733333            8.277715       9.975334               1.000000          2.333333
5                   mu                                 [7, 9, 11, 16, 17]                                               []             5.000000       13.333333            4.634835      12.560705               0.000000          1.000000
6                   mu                 [7, 9, 11, 13, 20, 15, 16, 17, 18]                                               []             8.733333       13.333333            8.310200      12.715862               0.000000          0.800000
7                   mu                                            [9, 16]                                               []             2.000000       13.333333            1.826087      12.780744               0.000000          0.666667
8                   mu                                 [7, 9, 11, 16, 18]                                               []             5.000000       13.333333            4.550334      12.865899               0.000000          0.571429
9                   mu                                    [9, 10, 11, 18]                                             [22]             4.000000       13.333333            3.636543      13.009666               0.000000          0.500000
10                  mu                            [9, 10, 11, 15, 16, 18]                                               []             5.875000       13.062500            5.437204      13.529386               0.000000          0.444444
11                  mu                                               [22]                                     [23, 24, 25]             0.312500       13.062500            0.750000      13.776715               1.000000          1.400000
12                  mu                                        [9, 11, 20]                                               []             2.263158       11.789474            2.593290      13.700423               0.000000          0.363636
13                  mu                                                 []                                             [26]             0.000000       11.789474            0.000000      14.425107               0.000000          3.333333
14                  mu                                                 []                                             [27]             0.000000       11.250000            0.000000      14.347312               0.000000          1.807692
15                  mu                                               [23]                                               []             0.190476       10.761905            0.315789      14.435368               0.333333          2.285714
16                  mu                                       [22, 24, 25]                                             [28]             0.761905       10.761905            1.733333      14.463531               0.500000          2.266667
17                  mu                                       [23, 22, 28]                                               []             0.772727       10.590909            1.734174      14.173814               0.000000          1.083333
18                  mu                   [5, 7, 8, 9, 10, 23, 22, 28, 15]                                               []             4.954545       10.681818            6.593173      14.158907               0.117647          0.818627
19                  mu                               [11, 13, 20, 23, 15]                                               []             3.227273       12.181818            4.323112      15.567358               0.000000          0.561111
20                  mu                        [5, 11, 13, 20, 23, 22, 15]                                               []             4.954545       12.681818            6.198636      16.031281               0.000000          0.419298
21                  mu                                           [11, 15]                                               []             1.590909       12.954545            1.838068      16.035332               0.000000          0.359524
22                  mu                                               [26]                                               []             0.045455       12.954545            0.000000      16.398104               0.125000          0.315476
23                  mu                                               [28]                                             [30]             0.500000       12.954545            0.880000      16.409237               0.000000          0.170455
24                  mu                                           [22, 28]                                               []             1.173913       12.521739            1.802083      16.807273               0.000000          0.154589
25                  mu                                               [26]                                               []             0.043478       12.521739            0.000000      17.333208               0.000000          1.141667
26                  mu                                       [11, 22, 18]                                               []             2.086957       12.521739            2.817720      17.089279               0.000000          0.630909
27                  mu                                                [5]                                               []             0.782609       12.521739            0.947368      17.502950               0.000000          0.455128
28                  mu                                   [11, 23, 22, 15]                                               []             2.826087       12.521739            3.980769      18.488151               0.000000          0.363960
29                  mu                                               [28]                                               []             0.521739       12.521739            0.888889      17.300576               0.000000          0.307143
30                  mu                                           [23, 22]                                               []             1.304348       12.521739            2.000000      18.132863               0.000000          0.267816
31                  mu                                               [23]                                               []             0.652174       12.521739            0.913043      17.292327               0.000000          0.238690
32                  mu                               [11, 20, 23, 28, 15]                                               []             3.347826       12.521739            4.769474      17.463471               0.000000          0.216082
33                  mu                                    [9, 10, 11, 18]                                               []             3.043478       12.695652            3.820947      16.754845               0.000000          0.197917
34                  mu                                               [28]                                         [31, 32]             0.608696       12.695652            0.933333      16.911593               0.000000          0.182935
35                  mu                                            [9, 10]                                               []             1.440000       12.000000            1.868398      16.467071               0.000000          0.170321
36                  mu                                            [9, 10]                                               []             1.440000       12.000000            1.841537      18.913769               0.000000          2.159524
37                  mu                                               [15]                                               []             0.720000       12.000000            1.000000      18.283861               0.000000          1.150155
38                  mu                                       [24, 31, 32]                                             [33]             0.440000       12.000000            1.714286      18.546038               0.666667          0.808601
