+--------+-------------------+-------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------------+-------+-------+
| commit |        user       |        changed_objects        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         pred                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |         score         | top 3 | top 5 |
+--------+-------------------+-------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------------+-------+-------+
|  797   |      svnpenn      |             [120]             |                [(74, 0.6933325162397352), (118, 0.6469175144012747), (121, 0.6429709523225886), (12, 0.6395269028067165), (119, 0.6370878784164726), (100, 0.3175756832945214), (108, 0.3117661478122319), (102, 0.27274175756832947), (11, 0.23749846794950363), (15, 0.216163132736855), (20, 0.19372472116680967), (13, 0.18449319769579606), (23, 0.18300299406439863), (5, 0.17508710801393731), (6, 0.160643811391452), (22, 0.15919965682068882), (18, 0.1542744208849124), (34, 0.15287106263022432), (28, 0.14788199911376773), (24, 0.14662571770673258), (25, 0.1451917184421168), (62, 0.14073824406585772), (141, 0.13536891775952936), (9, 0.13432672375664112), (101, 0.13184009478285735), (7, 0.1244782671673222), (8, 0.12415328675899825), (31, 0.11892914047589864), (10, 0.11767471503860769), (79, 0.11595406676911764), (78, 0.11501818033255709), (33, 0.10821485476161294), (26, 0.1067004817709561), (30, 0.10375894481789813), (75, 0.10375894481789813), (120, 0.10277830393653412), (35, 0.10031489530202609), (103, 0.09945721639556669), (95, 0.0974537320750092), (104, 0.09593935908435235), (142, 0.09566858683662213), (16, 0.09520694671661596), (17, 0.09286370878784164), (139, 0.06936134707307647), (140, 0.06423204201118161), (69, 0.04012331523866381), (70, 0.04012331523866381), (67, 0.03920155099221161), (68, 0.03920155099221161), (27, 0.020265963966172328), (32, 0.017826939575928423), (66, 0.012697634514033582), (144, 0.002690280671650938)]                 |  0.011141401645167595 |   0   |   0   |
|  798   |    joel.nothman   |              [5]              |      [(5, 0.1978241576644123), (15, 0.14112372616825292), (23, 0.14012914282216848), (11, 0.1374697799675613), (9, 0.12125960155461028), (22, 0.11918168742540626), (10, 0.10566147443155738), (28, 0.10171680386816416), (24, 0.10046209872387307), (25, 0.09902683844906204), (7, 0.09719986534871623), (74, 0.0933255806836613), (8, 0.09081617039507911), (18, 0.07926370229825261), (120, 0.07818955228448143), (34, 0.07786822535728495), (6, 0.0749273189093246), (62, 0.0740643265905683), (102, 0.07273923554793893), (79, 0.06979832909997859), (16, 0.06911589191174221), (17, 0.06786118676745112), (101, 0.06517122134834899), (13, 0.06448878416011261), (26, 0.060544113596719414), (141, 0.06036355846619948), (30, 0.05760320714875907), (75, 0.05760320714875907), (103, 0.0565994430333262), (142, 0.055666064816231604), (35, 0.0541604186430823), (104, 0.049784251920310926), (78, 0.0483489916454999), (118, 0.04691373137068887), (20, 0.043721883893870314), (121, 0.04296906080729566), (12, 0.039526272301618884), (119, 0.03708724791137497), (31, 0.03321296324632004), (33, 0.03321296324632004), (139, 0.023205924656486215), (95, 0.022453101569911562), (67, 0.021017841295100533), (68, 0.021017841295100533), (69, 0.020766900266242314), (70, 0.020766900266242314), (27, 0.020265018208525876), (140, 0.01807693484714019), (32, 0.017825993818281972), (100, 0.017575052789423756), (66, 0.012697004008935949), (108, 0.011763625791841358), (144, 0.002689965419102121)]      |  0.05912038726446458  |   1   |   1   |
|  800   |      dtolnay      |             [141]             |                       [(15, 0.708433734939759), (9, 0.7012048192771084), (28, 0.691566265060241), (25, 0.689156626506024), (8, 0.6867469879518072), (102, 0.6698795180722892), (26, 0.6578313253012048), (141, 0.655421686746988), (104, 0.6481927710843374), (10, 0.6327514138185395), (23, 0.6253012048192771), (22, 0.6179001721170395), (24, 0.6069508804448565), (18, 0.5926758706558758), (62, 0.5817555938037865), (7, 0.571566265060241), (140, 0.5678687214439735), (120, 0.5477993607081387), (142, 0.48158347676419966), (11, 0.47325301204819276), (95, 0.4507588013416081), (32, 0.41761840855285975), (79, 0.36897175686475564), (33, 0.2884681583476764), (139, 0.2716867469879518), (78, 0.19578313253012047), (5, 0.1621116043119848), (31, 0.13132530120481928), (17, 0.1192366571362448), (16, 0.09558703582106329), (74, 0.08674698795180724), (34, 0.07695161120074794), (6, 0.07404134686430326), (101, 0.0644027926474358), (13, 0.06374534433101618), (30, 0.05692356409367131), (75, 0.05692356409367131), (103, 0.05592231252921574), (35, 0.05351267397499888), (118, 0.04637724866927033), (20, 0.04321667144171178), (121, 0.04246573276837011), (12, 0.03905484264969767), (119, 0.0366452040954808), (67, 0.020778985780418296), (68, 0.020778985780418296), (69, 0.020528672889304402), (70, 0.020528672889304402), (27, 0.02002804710707662), (100, 0.01736809566174586), (66, 0.012548818553312123), (108, 0.00963855421686747), (144, 0.00265995144533076)]                       |  0.04134845812729071  |   0   |   0   |
|  801   |      dtolnay      |             [141]             |                    [(9, 0.7012048192771084), (28, 0.691566265060241), (25, 0.689156626506024), (8, 0.6867469879518072), (74, 0.6867469879518072), (26, 0.6578313253012048), (104, 0.6481927710843374), (118, 0.6463734939759036), (10, 0.6339759036144579), (15, 0.6334337349397591), (23, 0.6329935125115848), (22, 0.6236144578313253), (24, 0.6140733875673635), (7, 0.5772805507745267), (140, 0.5717136237256719), (120, 0.5563295606669101), (18, 0.5283795180722891), (62, 0.5174698795180722), (11, 0.5132530120481927), (141, 0.505421686746988), (142, 0.48158347676419966), (102, 0.4698795180722891), (95, 0.3971867469879518), (32, 0.36047461273666087), (79, 0.34589295644114926), (139, 0.29860982391102875), (33, 0.2563253012048193), (5, 0.1892818025348146), (78, 0.1791164658634538), (34, 0.1519487951807229), (101, 0.13106726907630523), (17, 0.11706024096385542), (31, 0.11703958691910499), (16, 0.09439719748559455), (6, 0.07403915662650602), (13, 0.06374096385542169), (30, 0.05692168674698796), (75, 0.05692168674698796), (103, 0.055921686746987956), (35, 0.05351204819277109), (20, 0.04321385542168676), (121, 0.04246385542168676), (12, 0.03905421686746988), (119, 0.03664457831325301), (67, 0.020777108433734943), (68, 0.020777108433734943), (69, 0.020527108433734943), (70, 0.020527108433734943), (27, 0.020027108433734942), (100, 0.017367469879518076), (66, 0.012548192771084338), (108, 0.00963855421686747), (144, 0.0026596385542168675)]                    |  0.03049686737341819  |   0   |   0   |
|  803   |      dtolnay      |         [9, 141, 142]         |                          [(9, 0.7), (28, 0.6904761904761905), (25, 0.6880952380952381), (8, 0.6857142857142857), (74, 0.6857142857142857), (26, 0.6571428571428571), (104, 0.6476190476190475), (118, 0.6458496615603847), (23, 0.638095238095238), (10, 0.6340336134453781), (22, 0.6273809523809524), (24, 0.6185550082101806), (7, 0.5813852813852813), (140, 0.5748070300439378), (15, 0.5738095238095238), (120, 0.5628889674681754), (11, 0.5404761904761904), (142, 0.4809523809523809), (18, 0.47752642204013773), (62, 0.4666666666666666), (141, 0.38809523809523805), (102, 0.36904761904761907), (95, 0.3552606578791117), (79, 0.3253057831611447), (139, 0.3214285714285714), (32, 0.3174147963424771), (33, 0.23095238095238094), (5, 0.21214980213329143), (34, 0.20938724617028856), (101, 0.18365039781498635), (78, 0.16523809523809524), (17, 0.1142807267545422), (31, 0.10595238095238095), (16, 0.09252760954755966), (6, 0.07317420733879586), (13, 0.0630150813442584), (30, 0.05625816411352571), (75, 0.05625816411352571), (103, 0.055260657879111746), (35, 0.05287970549815936), (20, 0.0427205795036219), (121, 0.041972449827811426), (12, 0.03859399121244508), (119, 0.0362130388314927), (67, 0.020543878399239997), (68, 0.020543878399239997), (69, 0.020294501840636504), (70, 0.020294501840636504), (27, 0.019795748723429523), (100, 0.017165419783873648), (66, 0.012403515021968887), (108, 0.009523809523809525), (144, 0.0026303289395558723)]                          |  0.09669112206413215  |   1   |   1   |
|  804   |      dtolnay      |              [74]             |                     [(28, 0.6904761904761905), (25, 0.6880952380952381), (8, 0.6857142857142857), (74, 0.6857142857142857), (9, 0.6773584905660377), (26, 0.6571428571428571), (23, 0.6532212885154062), (104, 0.6476190476190475), (22, 0.6392230576441102), (10, 0.6362533692722372), (24, 0.6332212885154062), (7, 0.5944761904761905), (120, 0.5806132979507591), (11, 0.5785714285714286), (140, 0.5426629306766294), (118, 0.5258459348870307), (15, 0.5071428571428571), (142, 0.5023809523809524), (141, 0.4429971988795518), (18, 0.42751586313230155), (62, 0.4166666666666667), (102, 0.32619047619047614), (34, 0.32605111783193974), (139, 0.3214285714285714), (79, 0.31521988621102237), (101, 0.2944174546914273), (5, 0.2752655677655678), (95, 0.27192670343355274), (32, 0.2355956828559568), (78, 0.1836996336996337), (33, 0.18095238095238095), (121, 0.16197058649113444), (12, 0.15859337010021943), (119, 0.15621241771926703), (17, 0.13056395659135384), (13, 0.12967740022534543), (6, 0.12771748799146057), (20, 0.11771778449860643), (16, 0.1119680167625373), (30, 0.09155041842390754), (75, 0.09155041842390754), (103, 0.0885933701002194), (35, 0.08817320203299252), (31, 0.08549783549783549), (67, 0.02054201506256301), (68, 0.02054201506256301), (69, 0.02029294906007235), (70, 0.02029294906007235), (27, 0.019794817055091028), (100, 0.017164798671647986), (66, 0.012402893909743223), (108, 0.009523809523809525), (144, 0.0026300183834430412)]                     |  0.04075172358549308  |   0   |   1   |
|  805   |        nico       |             [120]             |                 [(15, 0.7165178571428571), (9, 0.7076335877862595), (10, 0.6967787114845938), (28, 0.693125197098707), (25, 0.6930132708821234), (8, 0.6872527472527472), (34, 0.6738095238095237), (102, 0.6714428286284573), (101, 0.6619047619047619), (142, 0.6614718614718614), (26, 0.6580297751029458), (104, 0.6491734517641252), (78, 0.6475910364145657), (23, 0.6280348759221999), (22, 0.6237588652482269), (140, 0.6166666666666667), (7, 0.602020592020592), (24, 0.5979388770433547), (62, 0.5850340136054422), (18, 0.5833333333333333), (141, 0.5674891774891775), (120, 0.5484126984126984), (139, 0.515974025974026), (11, 0.41764638869902027), (79, 0.36666666666666664), (33, 0.20387348969438518), (5, 0.1655884995507637), (17, 0.14453663360217545), (16, 0.12206499967693996), (30, 0.10625444207533759), (75, 0.10625444207533759), (35, 0.10287846481876332), (103, 0.10141326335356186), (74, 0.09428571428571429), (6, 0.07316986496090973), (13, 0.06300639658848614), (118, 0.04285714285714286), (20, 0.042714996446339734), (121, 0.04047619047619048), (12, 0.038592750533049044), (119, 0.03571428571428571), (31, 0.03244491826581379), (95, 0.021926083866382375), (67, 0.020540156361051887), (68, 0.020540156361051887), (69, 0.020291400142146414), (70, 0.020291400142146414), (27, 0.019793887704335468), (32, 0.017412935323383085), (100, 0.017164179104477612), (108, 0.014608555286521389), (66, 0.01240227434257285), (144, 0.0034391534391534397)]                  |  0.031930391693200805 |   0   |   0   |
|  806   |      dtolnay      |              [23]             |                         [(9, 0.7), (28, 0.6904761904761905), (25, 0.6880952380952381), (8, 0.6857142857142857), (26, 0.6571428571428571), (104, 0.6476190476190475), (23, 0.6438095238095238), (10, 0.6340336134453781), (22, 0.6317927170868347), (24, 0.6229761904761905), (15, 0.5871428571428572), (7, 0.5813852813852813), (142, 0.5464985994397759), (11, 0.5404761904761904), (140, 0.5319461697722567), (18, 0.49749482401656314), (141, 0.4833333333333333), (120, 0.47719780219780217), (62, 0.4666666666666666), (118, 0.44583850931677016), (102, 0.429047619047619), (74, 0.3857142857142857), (79, 0.3481573498964803), (95, 0.3219254658385093), (32, 0.2840786749482402), (139, 0.2785714285714285), (34, 0.25604554865424434), (5, 0.23469802555168412), (101, 0.22728025597590812), (33, 0.21095238095238095), (78, 0.20887445887445885), (13, 0.14871635610766043), (6, 0.1398343685300207), (17, 0.13550406115623506), (16, 0.11551552795031056), (31, 0.09761904761904762), (30, 0.09625258799171843), (75, 0.09625258799171843), (35, 0.09287784679089026), (103, 0.09275879917184265), (20, 0.042712215320910976), (121, 0.041966873706004146), (12, 0.038592132505175986), (119, 0.0362111801242236), (67, 0.020538302277432714), (68, 0.020538302277432714), (69, 0.02028985507246377), (70, 0.02028985507246377), (27, 0.019792960662525883), (100, 0.017163561076604553), (66, 0.012401656314699793), (108, 0.009523809523809525), (144, 0.0026293995859213255)]                          |  0.03958745882828038  |   0   |   0   |
|  818   |      dtolnay      |              [23]             |                   [(15, 0.7058823529411764), (9, 0.6988235294117647), (28, 0.6894117647058824), (25, 0.6870588235294117), (8, 0.6847058823529412), (102, 0.668235294117647), (26, 0.6564705882352941), (141, 0.6541176470588235), (104, 0.6470588235294117), (10, 0.629264705882353), (22, 0.608868778280543), (24, 0.5985026737967913), (18, 0.5908441418182939), (62, 0.5658823529411765), (140, 0.5629043258563022), (7, 0.5560784313725491), (142, 0.5231932773109244), (23, 0.4823529411764706), (120, 0.4507606490872211), (95, 0.4502374952428952), (32, 0.4172049823601411), (79, 0.3673511411908704), (11, 0.3105882352941176), (33, 0.28773109243697476), (139, 0.23935828877005347), (78, 0.19470588235294117), (5, 0.15697121401752193), (31, 0.13058823529411764), (17, 0.11766170914110946), (16, 0.09398451357843682), (74, 0.08470588235294119), (34, 0.07514435884512924), (6, 0.07230182158542732), (101, 0.06289005687954498), (13, 0.06225070199438405), (30, 0.05558643530851753), (75, 0.05558643530851753), (103, 0.05460724314205486), (35, 0.05225430196558427), (118, 0.0452905176758586), (20, 0.042203182374541015), (121, 0.04146878824969401), (12, 0.03813665490676075), (119, 0.035783713730290156), (67, 0.02029231766145871), (68, 0.02029231766145871), (69, 0.020047519619843045), (70, 0.020047519619843045), (27, 0.019557923536611708), (100, 0.016960184318525452), (66, 0.012254301965584274), (108, 0.009411764705882354), (144, 0.0025977392180862556)]                   |   0.0314308694717559  |   0   |   0   |
