Repositories:
 - nlohmann/json
 - stedolan/jq
[DataQuery] - load existing repo: nlohmann/json..
[DataQuery] - ready!
[DataQuery] - Repo: nlohmann/json, commits: 578, train slice: 462
[DataQuery] - load existing repo: stedolan/jq..
[DataQuery] - ready!
[DataQuery] - Repo: stedolan/jq, commits: 992, train slice: 793
current values: [0.2 0.6 0.2 1.  1. ]
for repo: nlohmann/json
+---------------+-----------------------+-------+-------+--------+---------------+
|      user     |         score         | top 3 | top 5 | top 10 | total_objects |
+---------------+-----------------------+-------+-------+--------+---------------+
| niels.lohmann |          0.0          |   0   |   0   |   0    |       0       |
| niels.lohmann |          0.0          |   0   |   0   |   0    |       0       |
| niels.lohmann |          0.0          |   0   |   0   |   0    |       0       |
| niels.lohmann |          0.0          |   0   |   0   |   0    |       0       |
| niels.lohmann |          0.0          |   0   |   0   |   0    |       0       |
| niels.lohmann |          0.0          |   0   |   0   |   0    |       0       |
| niels.lohmann | 0.0008328348449967573 |   0   |   0   |   0    |       1       |
| niels.lohmann | 0.0014294416121880215 |   0   |   0   |   0    |       1       |
| niels.lohmann | 0.0018695435647423778 |   0   |   0   |   0    |       1       |
| niels.lohmann | 0.0016826745216673275 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.00200801668951151  |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.001840772957757936 |   0   |   0   |   0    |       0       |
| niels.lohmann | 0.0016992208172738755 |   0   |   0   |   0    |       0       |
| niels.lohmann | 0.0015778605089430198 |   0   |   0   |   0    |       0       |
| niels.lohmann | 0.0014726572589045853 |   0   |   0   |   0    |       0       |
| niels.lohmann | 0.0013805839058919221 |   0   |   0   |   0    |       0       |
| niels.lohmann | 0.0022443867820621647 |   1   |   1   |   1    |       3       |
| niels.lohmann | 0.0035205864879463895 |   1   |   1   |   1    |       3       |
| niels.lohmann | 0.0033479901625222044 |   0   |   0   |   0    |       0       |
| niels.lohmann | 0.0031853990102022247 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.003851933202759082 |   1   |   1   |   1    |       2       |
| niels.lohmann |  0.004443189156732617 |   0   |   0   |   0    |       2       |
| niels.lohmann |  0.004973016206436615 |   0   |   0   |   0    |       2       |
| niels.lohmann | 0.0051678441701406685 |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.00524767978387328  |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.005051070234813424 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.005109687636610143 |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.004926338486479573 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.004752912725038158 |   0   |   0   |   0    |       0       |
| niels.lohmann | 0.0051599173798746595 |   1   |   1   |   1    |       2       |
| niels.lohmann |  0.00553506084970809  |   0   |   0   |   0    |       2       |
| niels.lohmann |  0.005574727815641039 |   0   |   0   |   0    |       1       |
| niels.lohmann | 0.0056003882815925795 |   0   |   0   |   0    |       1       |
| niels.lohmann | 0.0056132405295711025 |   0   |   0   |   0    |       1       |
| niels.lohmann | 0.0054499292408962206 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.005295822062167495 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.005150159925186875 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.005457073199376244 |   1   |   1   |   1    |       2       |
| niels.lohmann |  0.005481758019369424 |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.005342441128535786 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.005621905784392894 |   1   |   1   |   1    |       2       |
| niels.lohmann |  0.00588482552317129  |   0   |   0   |   0    |       2       |
| niels.lohmann |  0.008472954659664198 |   0   |   0   |   0    |       13      |
| niels.lohmann |  0.00831320363707077  |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.008121853921340244 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.007939352320456007 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.007764921047586266 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.007597991594489741 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.00743807116619683  |   0   |   0   |   0    |       0       |
| niels.lohmann | 0.0076678351786571095 |   1   |   1   |   1    |       2       |
| niels.lohmann |  0.007670180955885579 |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.007518576916409551 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.025247551483405187 |   1   |   3   |   8    |       96      |
| niels.lohmann |  0.024869762830466935 |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.024299874628112984 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.024063583482056873 |   0   |   0   |   0    |       2       |
| niels.lohmann |  0.024084426211194825 |   0   |   0   |   0    |       3       |
| niels.lohmann |  0.02374245240657198  |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.023532314185972444 |   0   |   0   |   0    |       3       |
| niels.lohmann |  0.023169780260383948 |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.02286344174177265  |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.022564857060709247 |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.022235405474160034 |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.021911742434704087 |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.021503237774495455 |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.021109642421184037 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.020728073906607258 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.02045099218311201  |   0   |   0   |   0    |       1       |
| niels.lohmann |   0.0200942845325119  |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.019752761740464746 |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.019539445395437165 |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.019219705237108205 |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.018995532322825286 |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.018693189939728103 |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.018401678812625975 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.01824359242664335  |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.01796512217870381  |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.017694046669202265 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.017430926053598812 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.017175402521848328 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.01692713673211442  |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.016894108645705223 |   0   |   0   |   0    |       2       |
| niels.lohmann |  0.016747061066586154 |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.016515137629970353 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.016289435418025185 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.016069691194919127 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.01594405343674555  |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.015817344854780882 |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.015612434294304407 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.01559827815303456  |   0   |   0   |   0    |       2       |
| niels.lohmann |  0.015580061275807142 |   0   |   0   |   0    |       2       |
| niels.lohmann |  0.01546621953088595  |   0   |   0   |   0    |       12      |
| niels.lohmann |  0.015444656401172442 |   0   |   0   |   0    |       2       |
| niels.lohmann |  0.015241663741992699 |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.015425896035844268 |   0   |   0   |   0    |       7       |
| niels.lohmann |  0.015891299008633644 |   0   |   0   |   1    |       40      |
| niels.lohmann |  0.015773887310842585 |   0   |   0   |   0    |       1       |
| niels.lohmann |  0.01943373041379877  |   0   |   2   |   7    |       33      |
| niels.lohmann |  0.022201222611937486 |   0   |   0   |   2    |       33      |
| niels.lohmann |  0.025033049422821422 |   0   |   1   |   3    |       35      |
| niels.lohmann |  0.027711117243099083 |   0   |   1   |   2    |       33      |
| niels.lohmann |  0.027525170138623913 |   0   |   1   |   1    |       1       |
| niels.lohmann |  0.030162961147044417 |   0   |   1   |   2    |       37      |
| niels.lohmann |  0.032731634734317824 |   0   |   1   |   3    |       39      |
| niels.lohmann |  0.035435030169302266 |   1   |   1   |   3    |      132      |
| niels.lohmann |   0.0348188065965188  |   0   |   0   |   0    |       0       |
| niels.lohmann |  0.03852928567929721  |   3   |   4   |   4    |       60      |
|      mail     |  0.039083551913293824 |   3   |   5   |   10   |       43      |
|      mail     |  0.044122754277864544 |   3   |   5   |   10   |      162      |
|      mail     |  0.04744392001380778  |   3   |   5   |   10   |       43      |
|      mail     |  0.04652926843433688  |   0   |   0   |   0    |       0       |
|      mail     |  0.05951539036239967  |   3   |   5   |   10   |      216      |
|      mail     |  0.06259570431897707  |   3   |   5   |   10   |       49      |
|      mail     |  0.06566573403863062  |   0   |   0   |   0    |       53      |
|      mail     |  0.07152570082365821  |   0   |   0   |   0    |       94      |
|      mail     |  0.07468237303442343  |   3   |   5   |   10   |       62      |
+---------------+-----------------------+-------+-------+--------+---------------+
score for repo is: 0.07468237303442343
for repo: stedolan/jq
+-------------------+-----------------------+-------+-------+--------+---------------+
|        user       |         score         | top 3 | top 5 | top 10 | total_objects |
+-------------------+-----------------------+-------+-------+--------+---------------+
|      dtolnay      |          0.0          |   0   |   0   |   0    |       0       |
|      dtolnay      |          0.0          |   0   |   0   |   0    |       0       |
|      dtolnay      |          0.0          |   0   |   0   |   0    |       0       |
|      dtolnay      |          0.0          |   0   |   0   |   0    |       0       |
|      svnpenn      | 0.0014053529790112598 |   0   |   0   |   0    |       1       |
|    joel.nothman   |  0.003930493688805244 |   1   |   1   |   1    |       1       |
|      dtolnay      | 0.0032556846791893376 |   0   |   0   |   0    |       0       |
|      dtolnay      |  0.00883712262713691  |   0   |   0   |   1    |       1       |
|      dtolnay      |  0.011714466491834536 |   0   |   0   |   0    |       1       |
|       rominf      |  0.011411614890587682 |   0   |   0   |   0    |       0       |
|      dtolnay      |  0.021002222023881023 |   1   |   1   |   1    |       3       |
|      dtolnay      |  0.023064761865171052 |   0   |   1   |   1    |       1       |
|        nico       |  0.023918788967835235 |   0   |   0   |   0    |       1       |
|      dtolnay      |  0.025228516692032344 |   0   |   0   |   1    |       1       |
|      dtolnay      |   0.0230451495781033  |   0   |   0   |   0    |       0       |
|       simon       |  0.022696258075799922 |   0   |   0   |   0    |       0       |
|      dtolnay      |  0.021195872643486113 |   0   |   0   |   0    |       0       |
|      dtolnay      |  0.01988159989608884  |   0   |   0   |   0    |       0       |
|      dtolnay      |  0.018720831685365234 |   0   |   0   |   0    |       0       |
|      dtolnay      |  0.017688157167411747 |   0   |   0   |   0    |       0       |
|      dtolnay      |  0.016763480892730297 |   0   |   0   |   0    |       0       |
|      dtolnay      |  0.015930702037682553 |   0   |   0   |   0    |       0       |
|        nico       |  0.01500625069211222  |   0   |   0   |   0    |       0       |
|        nico       |  0.01427042877565952  |   0   |   0   |   0    |       0       |
|      dtolnay      |  0.01366090158708304  |   0   |   0   |   0    |       0       |
|      dtolnay      |  0.014388794951315152 |   0   |   0   |   0    |       1       |
|      dtolnay      |  0.013667114320147333 |   0   |   0   |   0    |       0       |
|      dtolnay      |  0.013167113258732217 |   0   |   0   |   0    |       0       |
|      dtolnay      |  0.012702415732135715 |   0   |   0   |   0    |       0       |
|      dtolnay      |  0.01226940995317805  |   0   |   0   |   0    |       0       |
|      dtolnay      |  0.011864960580989832 |   0   |   0   |   0    |       0       |
|      dtolnay      |  0.011486332665612477 |   0   |   0   |   0    |       0       |
|      dtolnay      |   0.0111311297108679  |   0   |   0   |   0    |       0       |
|      dtolnay      |  0.01079724288965392  |   0   |   0   |   0    |       0       |
|      dtolnay      |  0.010786967673256842 |   0   |   0   |   0    |       1       |
|      dtolnay      |  0.010384287030960343 |   0   |   0   |   0    |       0       |
|      dtolnay      |  0.010101222603142071 |   0   |   0   |   0    |       0       |
|      dtolnay      |  0.010100123372299936 |   0   |   0   |   0    |       1       |
|        nico       |  0.009813284845193464 |   0   |   0   |   0    |       0       |
|        nico       |  0.009542301284970153 |   0   |   0   |   0    |       0       |
|        nico       |  0.009285893305739793 |   0   |   0   |   0    |       0       |
|        nico       |  0.00904291556983113  |   0   |   0   |   0    |       0       |
|      dtolnay      |  0.008765515827823275 |   0   |   0   |   0    |       0       |
|      dtolnay      |  0.008794666900353246 |   0   |   0   |   0    |       1       |
|        nico       |  0.009596759237290968 |   0   |   1   |   1    |       1       |
|      dtolnay      |  0.009325331558788293 |   0   |   0   |   0    |       0       |
|        nico       |  0.009086291341874513 |   0   |   0   |   0    |       0       |
|   soeren.medard   |  0.009045701419683807 |   0   |   0   |   0    |       0       |
|      dtolnay      |  0.008862712078622919 |   0   |   0   |   0    |       0       |
|      dtolnay      |  0.008686981683416566 |   0   |   0   |   0    |       0       |
|      mmckinst     |  0.00865027929299481  |   0   |   0   |   0    |       0       |
|        nico       |  0.009384785523439519 |   1   |   1   |   1    |       1       |
|        nico       |  0.009897747087652611 |   0   |   0   |   0    |       1       |
|     pkoppstein    |  0.009701492082069371 |   0   |   0   |   0    |       0       |
|  romero.malaquias |  0.009733988124840847 |   0   |   0   |   0    |       1       |
|    cameronsparr   |  0.009858485606903087 |   1   |   1   |   1    |       1       |
|        nico       |  0.010363213050641473 |   0   |   0   |   0    |       1       |
|        nico       |  0.010238675073375551 |   0   |   0   |   0    |       1       |
|        nico       |  0.010549215701388446 |   0   |   0   |   0    |       1       |
|        nico       |  0.010319950314831973 |   0   |   0   |   0    |       0       |
|        nico       |  0.010147642373376137 |   0   |   0   |   0    |       0       |
|        nico       |  0.010024707593053243 |   0   |   0   |   0    |       1       |
|        nico       |  0.010476547605889962 |   0   |   0   |   0    |       2       |
|        jasc       |  0.010442192873799841 |   0   |   0   |   0    |       0       |
|        jasc       |  0.010408412571425102 |   0   |   0   |   0    |       0       |
|        jasc       |  0.010374853399431432 |   0   |   0   |   0    |       0       |
|        jasc       |  0.010341513186465976 |   0   |   0   |   0    |       0       |
|        jasc       |  0.010308389789534637 |   0   |   0   |   0    |       0       |
|        nico       |  0.010081804896504554 |   0   |   0   |   0    |       0       |
|        nico       |  0.009923566495775964 |   0   |   0   |   0    |       0       |
|        nico       |  0.009770222441570286 |   0   |   0   |   0    |       0       |
|        nico       |  0.009621549078784633 |   0   |   0   |   0    |       0       |
|        nico       |  0.00947733617553298  |   0   |   0   |   0    |       0       |
|         mu        |  0.009262388696531976 |   0   |   0   |   0    |       0       |
|         mu        |  0.00913358912230044  |   0   |   0   |   0    |       1       |
|        nico       |  0.009004606636336244 |   0   |   0   |   0    |       0       |
|        nico       |  0.008879219408052542 |   0   |   0   |   0    |       0       |
|      dtolnay      |  0.008768427960516642 |   0   |   0   |   0    |       0       |
|        nico       |  0.008649494233396263 |   0   |   0   |   0    |       0       |
|     raysatiro     |  0.008626529571107964 |   0   |   0   |   0    |       0       |
|      clement      |  0.008761456500155619 |   1   |   1   |   1    |       1       |
|       cortex      |  0.008738763319333178 |   0   |   0   |   0    |       0       |
|   xiong.chiamiov  |  0.008716411298260117 |   0   |   0   |   0    |       0       |
|  janne.cederberg  |  0.00869439140838796  |   0   |   0   |   0    |       0       |
|      richard      |  0.008672694957854296 |   0   |   0   |   0    |       0       |
|        jasc       |  0.008651313575411943 |   0   |   0   |   0    |       0       |
|       jwilk       |  0.008654273260770428 |   0   |   0   |   0    |       1       |
|       wmark       |  0.008705798961142253 |   0   |   0   |   1    |       1       |
|       wmark       |  0.00885300903054586  |   0   |   0   |   1    |       1       |
|      wlangfor     |  0.009427587523318962 |   0   |   0   |   0    |       3       |
|       attila      |  0.009549827739525287 |   1   |   1   |   1    |       1       |
|        nico       |  0.010006250968516884 |   1   |   1   |   1    |       1       |
|        nico       |  0.009857129078301738 |   0   |   0   |   0    |       0       |
|        nico       |  0.009746329288374472 |   0   |   0   |   0    |       0       |
|        nico       |  0.009638001309487219 |   0   |   0   |   0    |       0       |
|        nico       |  0.009532062967828598 |   0   |   0   |   0    |       0       |
|        nico       |  0.009428435721884211 |   0   |   0   |   0    |       0       |
|        nico       |  0.009327044460670139 |   0   |   0   |   0    |       0       |
|        nico       |  0.009341851625540448 |   0   |   0   |   0    |       1       |
|        nico       |  0.009537894230379105 |   0   |   0   |   0    |       2       |
|       github      |  0.009517808837368854 |   0   |   0   |   0    |       0       |
|      wlangfor     |  0.009573859328708387 |   0   |   0   |   0    |       1       |
|      wlangfor     |  0.009552988265004739 |   0   |   0   |   0    |       1       |
|      wlangfor     |  0.010494110159075917 |   2   |   2   |   2    |       3       |
|        nico       |  0.010355186195335505 |   0   |   0   |   0    |       0       |
|   erik.brinkman   |  0.010457883682675303 |   1   |   1   |   1    |       1       |
|        nico       |  0.010802589732922523 |   1   |   1   |   1    |       1       |
|        nico       |  0.010664621082830025 |   0   |   0   |   0    |       0       |
|        nico       |  0.010561673728144332 |   0   |   0   |   0    |       0       |
|        nico       |  0.010460795798128284 |   0   |   0   |   0    |       0       |
|        nico       |  0.010361906333228855 |   0   |   0   |   0    |       0       |
